,id,Video,ahash,phash,dhash,whash,colorhash,a,lc,ham_dist,dif
136,d134,augment125,00007034959d0f07,aa5421be7cc1ef60,26cbc8ac2579dbcb,80207c7f95bd0f0f,03c02000000,125,21,0.4375,1
137,d135,augment126,0030b898341d1b1f,8d56a95336395ca5,31e520306cabbb36,0030fc9e373d1b1f,03c03000000,126,21,0.5,1
138,d136,augment127,0030709e341d1b1f,8e46291b3eb9c2c7,79e1e0306dbbbb36,00307c9eb71d1f1f,03c02000000,114,19,0.46875,-1
139,d137,augment128,0003def6931f8381,bd402a8f74f49b2c,ac7f9484367b2737,0007fef69f1f8381,03c02000000,115,19,0.390625,-1
140,d138,augment129,00040e28a1b9f1f0,ff10766b6188d5a2,206cfcca4b736125,000e7eeaa9b9f1f0,03c03000000,117,20,0.234375,-1
141,d139,augment130,040e3d70ec3cb8d8,db10fc17704e49e9,f8d8f9e1d8486331,0c0e3df8ec3cb8d8,03c03000000,115,19,0.390625,-1
142,d140,augment131,000c1d196cb8d8f8,db07fc06616c0bf1,7358d9f1c86b3311,000c3d79ecbdd8f8,03c03000000,124,21,0.328125,1
143,d141,augment132,000e0ff86c3cb8f8,df107c07684f91b5,69dcf8d1d85a6323,000e1ff86cbeb8f8,03c02000000,117,20,0.234375,-1
144,d142,augment133,00003eaea0f9f9e1,ff14204b3fb78864,40c46c4c5253434b,0004feaea8f9f9e1,03c03000000,124,21,0.34375,1
145,d143,augment134,00006d75561ec6c3,b0437d1deae28935,dd3ed9cdb4322637,00067d755f1fc6c3,03c02000000,125,21,0.421875,1
146,d144,augment135,00207cbf143d0f0d,8a45211e3ff9c0f6,f3c9c86465759d99,01207ebfb53d0f0d,03c02000000,126,21,0.484375,1
147,d145,augment136,0000feaea8f96343,ef56204f37b6c841,09c1644c5253cb9b,0020feaebaf9e343,03e02000000,125,21,0.40625,1
148,d146,augment137,00067ee9283cb0b0,df10744b6a4c9db4,60ecfcc959514466,002efef92dbcb0b0,03c02000000,121,20,0.09375,1
149,d147,augment138,00389888361c1b1f,8c5aa5433279bae5,78643070ec2b7276,00b8989e36bd1b3f,03c03000000,125,21,0.453125,1
150,d148,augment139,0000f62f79f9c181,eb157e4802b7dc68,068146dc91911b19,0060ff6f79f9c181,03c02000000,115,19,0.40625,-1
151,d149,augment140,00207096951d0f0f,aa45213e3db1cae3,f3c9c8646575999b,01207ebf953d0f0f,03c02000000,114,19,0.53125,-1
152,d150,augment141,0040b6af63f8e1c3,e516684837b7dc61,4082464cd2b39313,0060beaf6af9e1c3,03c02000000,125,21,0.453125,1
153,d151,augment142,0060ff17163e1e0f,9665301c3f9fcc43,d9c8ca646474dc9d,0060feb7163e1f0f,03c02000000,114,19,0.46875,-1
154,d152,augment143,000e1e6929b9b8f0,df10744b68499f17,64eca8db59514144,040e7ee9a9b9b8f0,03c03000000,118,20,0.15625,-1
155,d153,augment144,00207016959d0f0f,aa45213e3cf5cae2,f3c8c824657559d9,00207ebf95bd0f0f,03c02000000,114,19,0.5,-1
156,d154,augment145,fffb310300e0c000,efafa8f435340644,0673475e46cd0313,fffff10fa0e0c000,2600018000,96,961,0.390625,-1
157,d155,augment146,df9f87e1e7030300,aa9a18ad696975b2,b33d0dd30d4ebbdd,df9f87e9ef020300,1600018000,104,1039,0.390625,1
158,d156,augment147,fbfd630f30e0c0c0,eaabea8f39312464,73c1c69bc7c40903,fbfd734f20e0c0c0,1600018000,96,961,0.390625,-1
159,d157,augment148,fff3f52000a0e0c0,e7b5a08c11a3b2de,1e26455e6461c389,fffbf7a880a0c0c0,2600030000,96,959,0.40625,-1
160,d158,augment149,f3fbe74710e0e040,e0a4ed5f18f36306,e6e3cc9ca4485383,f3fbe74714e0e040,01c00018000,106,1058,0.578125,1
161,d159,augment150,fff9f9c776c08000,e8c04bd53636f2c3,c1f389aeae8a0243,fff9f9c766c08000,1600018000,105,1052,0.515625,1
162,d160,augment151,bfbfcef08c070101,bfdebeaa68603030,31749ca61cce6f3b,bfbfcef08e070101,1600018000,98,977,0.234375,-1
163,d161,augment152,bf7c04d0cf870100,d2ca8baffd6c3010,69c9b5a51e0e451c,ff7c44f2cf872100,1600018000,104,1039,0.390625,1
164,d162,augment153,df9d85e1e7830100,aaaa1d9de1297592,b3390d518d4edbcc,df9f87e9e7830100,1600018000,97,966,0.34375,-1
165,d163,augment154,cfdfef5200050703,b0f0b8f860e5e363,9bb95ca4d1597e7e,cfdfef52000d0707,1600018000,104,1038,0.375,1
166,d164,augment155,fbf9e787b0e0c0c0,ff8f48df1c107602,62434f1c654c9286,fbf9e3c790e0c0c0,1600018000,105,1047,0.46875,1
167,d165,augment156,f9f96107a7e0c000,efcf49d93c1020e6,7343cd344d8da246,fbf9e187f7c0c000,1600018000,104,1036,0.359375,1
168,d166,augment157,ff9f9fe1e5030100,aaaa1d8563475796,4b312d494dfe9d9d,bfdf9fe1e7020100,2600018000,95,955,0.453125,-1
169,d167,augment158,fd7c4017e7c08000,c2ca4bdfad2c34c1,51c985a48a0e22ae,fd7c6117f7c2e000,600018000,105,1047,0.46875,1
170,d168,augment159,ffbd84f0cf070100,bedf9da5e02030b8,23695d851dcee798,ffbd85f1cf070100,1600018000,98,984,0.15625,-1
171,d169,augment160,bf3fc6f28e470301,bddc8f8a6e6c3030,717c9ea61cdeef3b,bf3fc6f20e470301,600018000,103,1033,0.328125,1
172,d170,augment161,f3fbe347b0e04080,ef874cdf34007782,6673cf8c64489222,f3fbf747b0e04080,1600018000,95,952,0.484375,-1
173,d171,augment162,ffcfcfe208070301,bad1198a45f5aa99,d8983cced9ad3e73,ffcfcfe208070701,1600018000,96,959,0.40625,-1
174,d172,augment163,df9f4ed000070303,bef8bcf868642131,3331dc24995d7e36,dfbfcef00c070303,1600018000,97,973,0.265625,-1
175,d173,augment164,fbf9710767c08000,e1cb4fff343420c2,6253cdaece8c22c6,fbf97117e7c0d000,1600018000,104,1039,0.390625,1
176,d174,augment165,ffffbd81e3800000,aaa8a4e5e561e6c6,97bb6d5d8e0b46cc,ff7fbd83f7800000,2600030000,96,959,0.40625,-1
177,d175,augment166,ffdfef44000f0703,b2e0e5d944e6878b,079b5d85d9793c6e,ffdfef5500050303,2600018000,95,947,0.53125,-1
178,d176,augment167,ffbfbcc0c7070000,baefb9a1e0601393,1f615d951d4f3b99,ffbf9ef08f070000,1600018000,102,1019,0.1875,1
179,d177,augment168,fbf9e187e740c000,ffcf48d8343420e6,32434f344f8d2044,fbf9e187e760d000,01c00018000,104,1036,0.359375,1
180,d178,augment169,ffbd8581e7810000,aaaa05e5e56165d5,93296d5d8e0f58cc,ffbdada9e7830000,2600018000,104,1036,0.359375,1
181,d179,augment170,fffbf147a4e0c000,ef8f48da1600c3cf,6273438c4d400662,fffbf1c7a0e0c000,2600018000,95,953,0.46875,-1
182,d180,augment171,fff9f9c772c08000,e8c14b9116bed2cb,b1e3812eae910361,fff9f9c772c08000,1600018000,105,1053,0.53125,1
183,d181,augment172,ffdf8cc001070300,b8faf8a161615393,9f331d8599ccbfb3,ffdfcdf105070300,2600018000,103,1027,0.265625,1
184,d182,augment173,fff9710fa0e0c000,efabe8f435340464,0673455e46cd0333,fffdf10fb0e0c000,2600018000,104,1038,0.375,1
185,d183,augment174,fdfd230fb1e0c080,eb8beaca39316464,7361c65a47840923,fdfd630fb0e0e080,01c00018000,104,1044,0.4375,1
